StudentID,Date,BehaviorType,Notes
S146,2023-12-02,Helpful,Shared resources with classmates.
S192,2023-07-04,Inattentive,Not focusing on the assigned task.
S173,2023-09-12,Helpful,Shared resources with classmates.
S074,2023-07-01,Inattentive,Sleeping in class.
S147,2023-08-17,Excellent,Helped another student with code.
S208,2023-12-07,Disruptive,Talking during the lecture.
S216,2023-09-08,Excellent,Answered all questions perfectly.
S167,2023-11-05,Good,Attentive and respectful.
S275,2023-06-15,Helpful,Shared resources with classmates.
S013,2023-11-22,Excellent,Outstanding performance in class discussion.
S239,2023-09-01,Inattentive,Sleeping in class.
S075,2023-09-23,Excellent,Helped another student with code.
S204,2023-10-25,Good,Attentive and respectful.
S270,2023-08-28,Excellent,Outstanding performance in class discussion.
S209,2023-07-14,Inattentive,Staring out the window.
S279,2023-09-23,Excellent,Answered all questions perfectly.
S132,2023-11-25,Helpful,Shared resources with classmates.
S091,2023-08-10,Excellent,Outstanding performance in class discussion.
S074,2023-07-17,Good,Completed work on time.
S298,2023-06-08,Excellent,Helped another student with code.
S145,2023-07-06,Excellent,Outstanding performance in class discussion.
S263,2023-12-07,Excellent,Outstanding performance in class discussion.
S005,2023-10-14,Good,Completed work on time.
S110,2023-07-17,Helpful,Assisted the teacher in setting up the lab.
S086,2023-12-04,Good,Completed work on time.
S032,2023-07-28,Good,Completed work on time.
S198,2023-11-15,Good,Completed work on time.
S106,2023-10-13,Good,Attentive and respectful.
S161,2023-06-06,Inattentive,Sleeping in class.
S281,2023-08-18,Disruptive,Talking during the lecture.
S105,2023-10-21,Excellent,Answered all questions perfectly.
S159,2023-09-15,Good,Good teamwork.
S116,2023-09-08,Excellent,Answered all questions perfectly.
S095,2023-12-11,Disruptive,Using mobile phone in class.
S270,2023-06-13,Inattentive,Not focusing on the assigned task.
S016,2023-09-27,Disruptive,Talking during the lecture.
S012,2023-11-12,Disruptive,Using mobile phone in class.
S086,2023-07-31,Inattentive,Sleeping in class.
S094,2023-09-12,Inattentive,Sleeping in class.
S144,2023-12-16,Disruptive,Arguing with peers.
S051,2023-11-02,Inattentive,Not focusing on the assigned task.
S061,2023-06-07,Helpful,Shared resources with classmates.
S232,2023-09-22,Helpful,Shared resources with classmates.
S217,2023-08-04,Inattentive,Sleeping in class.
S105,2023-10-23,Good,Completed work on time.
S170,2023-07-22,Disruptive,Using mobile phone in class.
S011,2023-08-26,Disruptive,Using mobile phone in class.
S079,2023-08-11,Inattentive,Sleeping in class.
S232,2023-06-08,Helpful,Shared resources with classmates.
S107,2023-06-29,Good,Attentive and respectful.
S296,2023-10-23,Disruptive,Talking during the lecture.
S161,2023-09-12,Good,Good teamwork.
S088,2023-09-02,Helpful,Assisted the teacher in setting up the lab.
S203,2023-11-07,Disruptive,Arguing with peers.
S010,2023-07-09,Excellent,Answered all questions perfectly.
S095,2023-10-19,Helpful,Assisted the teacher in setting up the lab.
S021,2023-07-02,Inattentive,Sleeping in class.
S102,2023-08-03,Helpful,Shared resources with classmates.
S172,2023-09-02,Helpful,Assisted the teacher in setting up the lab.
S024,2023-08-04,Disruptive,Using mobile phone in class.
S121,2023-09-10,Helpful,Assisted the teacher in setting up the lab.
