StudentID,Subject,ExamType,Score,MaxScore,Term
S040,English,Final,66,100,Term 1
S295,Science,Unit Test,26,50,Term 1
S127,Math,Final,37,100,Term 2
S090,Math,Unit Test,47,50,Term 1
S234,Science,Final,38,100,Term 1
S034,History,Mid-Term,43,100,Term 1
S286,History,Final,78,100,Term 2
S135,Computer,Mid-Term,59,100,Term 2
S221,History,Unit Test,21,50,Term 2
S255,Science,Mid-Term,56,100,Term 2
S009,Science,Unit Test,27,50,Term 1
S144,Computer,Final,99,100,Term 1
S078,Science,Mid-Term,54,100,Term 1
S180,Math,Unit Test,49,50,Term 2
S107,Computer,Final,96,100,Term 1
S239,Math,Final,87,100,Term 1
S169,English,Mid-Term,77,100,Term 2
S294,Science,Unit Test,45,50,Term 1
S049,English,Mid-Term,60,100,Term 2
S173,Computer,Final,74,100,Term 2
S123,History,Mid-Term,62,100,Term 2
S137,English,Final,54,100,Term 2
S182,Science,Final,67,100,Term 1
S103,History,Unit Test,31,50,Term 1
S049,English,Mid-Term,70,100,Term 2
S193,Math,Final,37,100,Term 2
S276,Science,Unit Test,49,50,Term 1
S032,Math,Mid-Term,80,100,Term 1
S284,Computer,Mid-Term,78,100,Term 1
S199,History,Mid-Term,99,100,Term 2
S279,Science,Unit Test,17,50,Term 1
S142,English,Final,36,100,Term 2
S100,Math,Unit Test,29,50,Term 1
S158,Science,Unit Test,27,50,Term 2
S151,Science,Mid-Term,93,100,Term 1
S028,English,Unit Test,39,50,Term 1
S011,History,Unit Test,39,50,Term 1
S091,History,Unit Test,26,50,Term 1
S078,Science,Unit Test,21,50,Term 2
S213,Math,Unit Test,19,50,Term 1
S246,English,Unit Test,48,50,Term 1
S172,Computer,Final,86,100,Term 1
S126,Computer,Final,59,100,Term 1
S039,Computer,Unit Test,35,50,Term 1
S093,English,Unit Test,50,50,Term 2
S299,Science,Mid-Term,61,100,Term 2
S078,Science,Unit Test,28,50,Term 2
S159,History,Final,43,100,Term 1
S124,Math,Final,55,100,Term 2
S215,Math,Mid-Term,37,100,Term 1
S146,Computer,Unit Test,20,50,Term 2
S256,Math,Unit Test,32,50,Term 1
S130,Math,Unit Test,31,50,Term 2
S065,English,Final,69,100,Term 1
S252,Math,Mid-Term,58,100,Term 2
S268,English,Unit Test,34,50,Term 1
S094,Computer,Mid-Term,65,100,Term 2
S012,History,Mid-Term,70,100,Term 2
S265,English,Final,71,100,Term 2
S119,History,Unit Test,23,50,Term 1
S075,Computer,Final,97,100,Term 2
S036,English,Final,77,100,Term 2
S199,Computer,Unit Test,50,50,Term 2
S182,History,Unit Test,18,50,Term 2
S072,Math,Mid-Term,38,100,Term 1
S211,Computer,Final,90,100,Term 2
S100,History,Unit Test,23,50,Term 2
S051,Science,Unit Test,18,50,Term 1
S274,Computer,Final,64,100,Term 1
S112,Computer,Final,72,100,Term 2
S091,English,Final,66,100,Term 1
S053,Math,Mid-Term,90,100,Term 2
S256,History,Mid-Term,40,100,Term 2
